,0
2021-01-04,1000000000.0
2021-01-05,998206075.0089047
2021-01-06,987598258.146631
2021-01-07,987778180.4791807
2021-01-08,999436446.9090997
2021-01-11,1008459893.7536947
2021-01-12,1004113592.6589144
2021-01-13,1010467817.8026193
2021-01-14,1016534719.3626196
2021-01-15,998438295.5091823
2021-01-18,995169078.8491819
2021-01-19,1001789925.6886356
2021-01-20,981833006.8172407
2021-01-21,996101635.2940952
2021-01-22,1007394430.9221399
2021-01-25,1012250029.5209225
2021-01-26,1000300904.5863298
2021-01-27,1010090880.9463302
2021-01-28,990197532.4721338
2021-01-29,962071067.9010588
2021-02-01,968857216.2310588
2021-02-02,988693243.3262376
2021-02-03,988448556.6485976
2021-02-04,985748924.1885974
2021-02-05,988083728.5155625
2021-02-17,1010071263.3881688
2021-02-18,1020059028.8181688
2021-02-19,1009303327.3681686
2021-02-22,1019648535.2181687
2021-02-23,1018189423.9881687
2021-02-24,999560594.2691314
2021-02-25,1016963012.7933587
2021-02-26,992012969.3578264
2021-03-02,990899765.663979
2021-03-03,1005098495.0839789
2021-03-04,992573635.5837449
2021-03-05,990131893.1037452
2021-03-08,986521702.163745
2021-03-09,991806714.8837448
2021-03-10,991668947.4814427
2021-03-11,1012490025.9714425
2021-03-12,1022737077.0468665
2021-03-15,1015431134.2576953
2021-03-16,1016095367.1076953
2021-03-17,1014249709.3076952
2021-03-18,1018505291.3165951
2021-03-19,1009981139.7649131
2021-03-22,1020731982.4071558
2021-03-23,1020678115.557155
2021-03-24,1022499971.8182853
2021-03-25,1020379210.163081
2021-03-26,1023236848.0630813
2021-03-29,1040025213.8075866
2021-03-30,1046631224.6075865
2021-03-31,1046474502.6575866
2021-04-01,1047776563.1075863
2021-04-06,1053206200.6075863
2021-04-07,1067014550.0575866
2021-04-08,1076660488.5075862
2021-04-09,1072975548.9575868
2021-04-12,1101935891.7575865
2021-04-13,1101569043.9575865
2021-04-14,1101893614.9146078
2021-04-15,1115551071.9146078
2021-04-16,1140274943.2499626
2021-04-19,1175359664.2499628
2021-04-20,1178857322.3999624
2021-04-21,1195208034.6999624
2021-04-22,1182180995.1499627
2021-04-23,1172971111.9999628
2021-04-26,1192365547.2744231
2021-04-27,1199911926.4744225
2021-04-28,1214795473.1744225
2021-04-29,1206216607.5244226
2021-05-03,1184932872.574423
2021-05-04,1143877578.124423
2021-05-05,1159404464.5244231
2021-05-06,1172950388.451298
2021-05-07,1184792001.401298
2021-05-10,1215646774.1585479
2021-05-11,1172671594.4368577
2021-05-12,1102769861.4368582
2021-05-13,1077596552.7266643
2021-05-14,1081588133.606564
2021-05-17,1037283348.1455379
2021-05-18,1102441062.2041268
2021-05-19,1121759795.2297065
2021-05-20,1120135179.0515766
2021-05-21,1147992656.6958764
2021-05-24,1165960326.7240214
2021-05-25,1157080140.6978228
2021-05-26,1174445345.9848602
2021-05-27,1188865742.7341726
2021-05-28,1214794233.4622102
2021-05-31,1219144689.567585
2021-06-01,1245978622.1888852
2021-06-02,1244855222.3193314
2021-06-03,1250766667.2341437
2021-06-04,1238803409.217248
2021-06-07,1229177144.521678
2021-06-08,1247263820.823838
2021-06-09,1230048504.8632777
2021-06-10,1229895525.24316
2021-06-11,1248501712.332529
2021-06-15,1276312674.7946904
2021-06-16,1289373068.1946905
2021-06-17,1307728491.4446898
2021-06-18,1324546343.557534
2021-06-21,1365291885.3569016
2021-06-22,1355406933.4621453
2021-06-23,1320630161.6114466
2021-06-24,1362071371.0122702
2021-06-25,1398795983.6942828
2021-06-28,1436357148.0889876
2021-06-29,1415759899.0389876
2021-06-30,1461911412.1186407
2021-07-01,1478562710.2186155
2021-07-02,1474397723.0598407
2021-07-05,1456048041.473528
2021-07-06,1447677696.7735279
2021-07-07,1409327877.7235281
2021-07-08,1460956170.8235278
2021-07-09,1395947470.25581
2021-07-12,1413973910.6558106
2021-07-13,1354855796.6058104
2021-07-14,1343329448.5058105
2021-07-15,1386374019.5981984
2021-07-16,1401511294.9481976
2021-07-19,1402334295.4843478
2021-07-20,1334214807.6616979
2021-07-21,1298210219.338363
2021-07-22,1305126541.988363
2021-07-23,1294019215.4383626
2021-07-26,1256231770.464283
2021-07-27,1220687115.9642825
2021-07-28,1239613122.8491907
2021-07-29,1289547835.8991902
2021-07-30,1236406400.2892992
2021-08-02,1256181811.7402134
2021-08-03,1257772677.6705086
2021-08-04,1264057696.7888782
2021-08-05,1244127098.5499833
2021-08-06,1261990437.4112413
2021-08-09,1251846457.5112412
2021-08-10,1232862755.8230467
2021-08-11,1214973216.9230464
2021-08-12,1217330522.2870164
2021-08-13,1197798900.6740463
2021-08-16,1185013986.734086
2021-08-17,1173100864.2161689
2021-08-18,1196247880.6346116
2021-08-19,1165358064.9158013
2021-08-20,1171464924.7445638
2021-08-23,1192954224.2310665
2021-08-24,1196073653.200314
2021-08-25,1203046478.2018714
2021-08-26,1200030006.6863966
2021-08-27,1213034871.390784
2021-08-30,1222636965.634169
2021-08-31,1225415985.1392066
2021-09-01,1219716596.2754214
2021-09-02,1215222778.930259
2021-09-03,1212642462.2198327
2021-09-06,1218733554.15842
2021-09-07,1215909828.8610578
2021-09-08,1217955857.5323627
2021-09-09,1212732759.2679749
2021-09-10,1244598550.2556727
2021-09-13,1246837656.06149
2021-09-14,1257980742.1029224
2021-09-15,1262466932.5029225
2021-09-16,1257351196.4029226
2021-09-17,1235963631.3529224
2021-09-22,1226124582.5972037
2021-09-23,1254587965.6872036
2021-09-24,1246510218.287204
2021-09-27,1240162301.2272036
2021-09-28,1237111875.350446
2021-09-29,1205986836.5204465
2021-09-30,1245943426.7892613
2021-10-01,1209698420.4392614
2021-10-04,1174613030.7292616
2021-10-05,1192541940.5592616
2021-10-06,1193498630.8050368
2021-10-07,1229734832.7450364
2021-10-08,1234608635.125036
2021-10-12,1210221679.4363265
2021-10-13,1205185922.074881
2021-10-14,1202872205.174881
2021-10-15,1212095382.8148813
2021-10-18,1232473607.0408814
2021-10-19,1232660603.7908816
2021-10-20,1233826633.8428113
2021-10-21,1261631895.494024
2021-10-22,1256366862.8838363
2021-10-25,1263917316.6342864
2021-10-26,1280146304.6169112
2021-10-27,1306411172.184574
2021-10-28,1306031630.4992487
2021-10-29,1311819931.5065114
2021-11-01,1333685687.7463536
2021-11-02,1330447878.6971712
2021-11-03,1320149744.4002213
2021-11-04,1315518308.0302212
2021-11-05,1331918466.6995087
2021-11-08,1336008503.4446087
2021-11-09,1354811453.784609
2021-11-10,1352143843.0335965
2021-11-11,1357446618.9935963
2021-11-12,1348973916.9773214
2021-11-15,1344091659.3373215
2021-11-16,1356987499.1473215
2021-11-17,1367170542.5073214
2021-11-18,1362556049.9973214
2021-11-19,1365944256.7673213
2021-11-22,1355103141.0936465
2021-11-23,1346747412.3436465
2021-11-24,1339954427.6952863
2021-11-25,1351771819.3828142
2021-11-26,1330994233.582814
2021-11-29,1328559251.6709638
2021-11-30,1361822603.1872387
2021-12-01,1368795879.3374474
2021-12-02,1345373470.9535062
2021-12-03,1367167966.1035063
2021-12-06,1367623317.9035063
2021-12-07,1372885796.1035063
2021-12-08,1403341241.453506
2021-12-09,1413545522.5708263
2021-12-10,1426822278.220826
2021-12-13,1442089742.8708262
2021-12-14,1409185328.3708262
2021-12-15,1420453748.800645
2021-12-16,1436271883.6301503
2021-12-17,1420691280.9720871
2021-12-20,1401546527.4593375
2021-12-21,1413270667.5093377
2021-12-22,1425144072.3614178
2021-12-23,1425371828.9518034
2021-12-24,1427254290.7518034
2021-12-27,1426924792.5518036
2021-12-28,1447117771.6018035
2021-12-29,1443069207.6053042
2021-12-30,1441105382.9269583
2022-01-03,1422980862.8431084
2022-01-04,1423882598.2665513
2022-01-05,1418554029.0943336
2022-01-06,1407964373.572134
2022-01-07,1387536267.98652
2022-01-10,1394533112.4813538
2022-01-11,1407024249.0093548
2022-01-12,1399569662.4140403
2022-01-13,1393520676.8302991
2022-01-14,1372567552.1284332
2022-01-17,1380196340.5925565
2022-01-18,1393762994.840356
2022-01-19,1382619647.537355
2022-01-20,1388193451.7324982
2022-01-21,1370498740.7885308
2022-01-24,1374678732.6903262
2022-01-25,1349780721.9368072
2022-01-26,1360589991.1381185
2022-02-07,1385558749.0618327
2022-02-08,1398184004.9245853
2022-02-09,1400791170.941795
2022-02-10,1400937187.6043262
2022-02-11,1402939271.8433444
2022-02-14,1410066247.6871455
2022-02-15,1389020866.2286592
2022-02-16,1396237610.7567763
2022-02-17,1389969332.5067825
2022-02-18,1403692445.3825336
2022-02-21,1407469226.8317778
2022-02-22,1384330450.7085001
2022-02-23,1415673616.9524505
2022-02-24,1382952528.6008248
2022-02-25,1370438055.9506655
2022-03-01,1391273787.69969
2022-03-02,1389591918.9835653
2022-03-03,1414139042.3972242
2022-03-04,1419250411.1831188
2022-03-07,1351800553.3909118
2022-03-08,1305039592.5733054
2022-03-09,1356466399.919439
2022-03-10,1381788464.8072166
2022-03-11,1395954321.3770394
2022-03-14,1395355057.133652
2022-03-15,1359381937.3070815
2022-03-16,1349681427.4855738
2022-03-17,1390853186.6314435
2022-03-18,1386887785.1593227
2022-03-21,1391277731.1937382
2022-03-22,1383845121.5677564
2022-03-23,1393810069.0722127
2022-03-24,1383770883.1272278
2022-03-25,1371790767.6138654
2022-03-28,1372302112.1603603
2022-03-29,1378409470.7483451
2022-03-30,1378086683.1681402
2022-03-31,1378750394.009884
2022-04-01,1388356641.8991716
2022-04-06,1416483872.5513566
2022-04-07,1377222656.1784666
2022-04-08,1414807184.8784664
2022-04-11,1414343988.3784666
2022-04-12,1399415330.1284666
2022-04-13,1413143071.6784663
2022-04-14,1403994477.1857395
2022-04-15,1386627678.9357395
2022-04-18,1348189213.0857391
2022-04-19,1356580890.9857392
2022-04-20,1359280554.0347342
2022-04-21,1353401085.710042
2022-04-22,1371221492.279597
2022-04-25,1346394613.6885808
2022-04-26,1340165520.8482928
2022-04-27,1327108668.9474533
2022-04-28,1326729715.107203
2022-04-29,1341977093.3136444
2022-05-03,1328406569.8841567
2022-05-04,1326423253.110558
2022-05-05,1324009796.4256337
2022-05-06,1317913266.9876058
2022-05-09,1276587299.7622094
2022-05-10,1279971671.8548667
2022-05-11,1261285387.9363291
2022-05-12,1231300681.4110792
2022-05-13,1238577810.6311169
2022-05-16,1239820103.555918
2022-05-17,1240913541.076653
2022-05-18,1245580260.0826406
2022-05-19,1244308160.3531759
2022-05-20,1245432088.8009043
2022-05-23,1245032323.452611
2022-05-24,1242735190.5512772
2022-05-25,1244956253.767477
2022-05-26,1241691654.7149282
2022-05-27,1245539894.8163383
2022-05-30,1247537581.459108
2022-05-31,1244165986.875788
2022-06-01,1250497038.896441
2022-06-02,1244206244.4705276
2022-06-06,1243868523.9624345
2022-06-07,1248999985.1897373
2022-06-08,1250455949.1752534
2022-06-09,1260679728.3522208
2022-06-10,1262245638.6133783
2022-06-13,1243792973.1039157
2022-06-14,1251745443.3445332
2022-06-15,1266697937.8805509
2022-06-16,1259601885.9929886
2022-06-17,1250915179.8766215
2022-06-20,1236580759.3024611
2022-06-21,1263389502.751154
2022-06-22,1245671018.2462535
2022-06-23,1248627230.0500236
2022-06-24,1262572904.5887437
2022-06-27,1272289923.4667635
2022-06-28,1269692789.3660312
2022-06-29,1284848680.957269
2022-06-30,1246284630.6132011
2022-07-01,1204505281.8955889
