,symbol,open_date,close_date,open_price,close_price,position_size,exit_reason,profit_loss,change_pct,trade_commission,cumulative_return
0,1102,2021-01-05,2021-01-05,42.95,42.95,232497,Low prediction,0.0,0.0,58416.6149775,999941583.3850225
1,1216,2021-01-05,2021-01-05,67.6,67.6,147718,Low prediction,0.0,0.0,58416.56027999999,999883166.8247426
2,1301,2021-01-05,2021-01-05,96.8,96.8,103158,Low prediction,0.0,0.0,58416.31224,999824750.5125026
3,1504,2021-01-05,2021-01-05,28.4,28.4,351611,Low prediction,0.0,0.0,58416.651540000006,999766333.8609625
4,1605,2021-01-05,2021-01-05,19.2,19.2,520092,Low prediction,0.0,0.0,58416.73344,999707917.1275225
5,2105,2021-01-05,2021-01-05,44.0,44.0,226949,Low prediction,0.0,0.0,58416.672600000005,999649500.4549224
6,2207,2021-01-05,2021-01-05,641.0,641.0,15578,Low prediction,0.0,0.0,58415.1633,999591085.2916224
7,2409,2021-01-05,2021-01-05,14.2,14.2,703226,Low prediction,0.0,0.0,58416.983819999994,999532668.3078024
8,2618,2021-01-05,2021-01-05,13.05,13.05,765197,Low prediction,0.0,0.0,58417.051972500005,999474251.2558299
9,2881,2021-01-05,2021-01-05,46.25,46.25,215909,Low prediction,0.0,0.0,58416.8788125,999415834.3770174
10,2892,2021-01-05,2021-01-05,21.1,21.1,473262,Low prediction,0.0,0.0,58417.094970000006,999357417.2820474
11,3017,2021-01-05,2021-01-05,65.6,65.6,152224,Low prediction,0.0,0.0,58417.48224,999298999.7998074
12,3231,2021-01-05,2021-01-05,30.75,30.75,324745,Low prediction,0.0,0.0,58417.5661875,999240582.2336199
13,3443,2021-01-05,2021-01-05,375.0,375.0,26629,Low prediction,0.0,0.0,58417.36875,999182164.86487
14,3653,2021-01-05,2021-01-05,253.0,253.0,39470,Low prediction,0.0,0.0,58417.5735,999123747.2913699
15,3706,2021-01-05,2021-01-05,29.5,29.5,338508,Low prediction,0.0,0.0,58418.0181,999065329.2732699
16,4958,2021-01-05,2021-01-05,119.0,119.0,83915,Low prediction,0.0,0.0,58417.42725,999006911.8460199
17,6415,2021-01-05,2021-01-05,2400.0,2400.0,4160,Low prediction,0.0,0.0,58406.4,998948505.4460199
18,8464,2021-01-05,2021-01-05,320.0,320.0,31207,Low prediction,0.0,0.0,58419.504,998890085.9420199
19,1326,2021-01-05,2021-01-06,84.1,83.5,118736,Low prediction,-71241.59999999932,-0.7134363852556391,58101.08688,998760743.25514
20,2324,2021-01-05,2021-01-06,20.85,21.8,478934,Low prediction,454987.29999999964,4.55635491606714,60430.096117500005,999155300.4590224
21,2884,2021-01-05,2021-01-06,25.3,25.15,394696,Low prediction,-59204.40000000084,-0.5928853754940788,58155.002010000004,999037941.0570124
22,3711,2021-01-05,2021-01-06,83.9,88.0,119022,Low prediction,487990.1999999993,4.886769964243132,60577.139565000005,999465354.1174475
23,2912,2021-01-05,2021-01-07,268.5,271.0,37191,Low prediction,92977.5,0.9310986964618184,58828.2589125,999499503.358535
24,3008,2021-01-05,2021-01-07,3350.0,3015.0,2980,Low prediction,-998300.0,-9.999999999999998,53983.0725,998447220.2860351
25,3008,2021-01-05,2021-01-07,3350.0,3015.0,2963,Low prediction,-992605.0,-9.999999999999998,53675.115375,997400940.17066
26,1519,2021-01-05,2021-01-08,48.95,48.25,203999,Low prediction,-142799.30000000057,-1.430030643513791,57784.756740000004,997200356.11392
27,6505,2021-01-05,2021-01-11,100.0,103.0,99863,Low prediction,299589.0,3.0000000000000027,59745.536325,997440199.577595
28,2345,2021-01-05,2021-01-12,302.0,293.0,33065,Low prediction,-297585.0,-2.98013245033113,57099.121875000004,997085515.45572
29,2360,2021-01-05,2021-01-12,178.0,185.0,56099,Low prediction,392693.0,3.93258426966292,60153.555225000004,997418054.9004949
30,3481,2021-01-05,2021-01-12,14.5,13.45,688685,Low prediction,-723119.2500000005,-7.241379310344831,55217.902443750005,996639717.7480512
31,2345,2021-01-05,2021-01-12,302.0,293.0,32872,Low prediction,-295848.0,-2.98013245033113,56765.83500000001,996287103.9130511
32,2360,2021-01-05,2021-01-12,178.0,185.0,55771,Low prediction,390397.0,3.93258426966292,59801.849025,996617699.0640261
33,3481,2021-01-05,2021-01-12,14.5,13.45,684660,Low prediction,-718893.0000000005,-7.241379310344831,54895.182975,995843910.8810511
34,2360,2021-01-06,2021-01-12,178.5,185.0,56069,Low prediction,364448.5,3.6414565826330625,60161.3361375,996148198.0449135
35,3481,2021-01-06,2021-01-12,13.95,13.45,717447,Low prediction,-358723.5,-3.584229390681004,56961.70456500001,995732512.8403485
36,2395,2021-01-05,2021-01-13,349.0,369.0,28612,Low prediction,572240.0,5.730659025787976,60947.851800000004,996243804.9885485
37,2395,2021-01-05,2021-01-13,349.0,369.0,28445,Low prediction,568900.0,5.730659025787976,60592.11675,996752112.8717985
